datetime,day of week,total,place,angbutter,plain bread,jam,americano,croissant,caffe latte,tiramisu croissant,cacao deep,pain au chocolat,almond croissant,croque monsieur,mad garlic,milk tea,gateau chocolat,pandoro,cheese cake,lemon ade,orange pound,wiener,vanila latte,berry ade,tiramisu,merinque cookies,,,,,,
8/3/2019,Sat,18800,,1,1,,,1,,,,,,,,,,,,,,2,,,,,,,,,,
8/3/2019,Sat,16400,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/3/2019,Sat,19300,,1,1,,,,,,,,,,,1,,,,,1,,,,,,,,,,,
8/3/2019,Sat,16400,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/3/2019,Sat,18300,,1,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,
8/3/2019,Sat,16300,,1,,1,,1,,,,,,,,,,,,,1,,,,,,,,,,,
8/3/2019,Sat,15800,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
8/3/2019,Sat,17900,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
8/3/2019,Sat,16400,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/4/2019,Sun,34800,,1,1,,2,2,,,,2,,,,,,,,,,1,,,,,,,,,,
8/4/2019,Sun,31600,,2,1,,,1,,,,1,,,,,,,,,1,2,,,,,,,,,,
8/4/2019,Sun,16400,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/4/2019,Sun,19300,,1,1,,,,,1,,,,,,1,,,,,,,,,,,,,,,,
8/4/2019,Sun,24300,,1,1,1,,,,1,,1,,,,,,,,,,1,,,,,,,,,,
8/4/2019,Sun,22100,,2,,,,1,,,,,,,,,,,,,1,1,,,,,,,,,,
8/4/2019,Sun,14800,,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,
8/4/2019,Sun,19500,,,1,,,2,,,,1,,,,,,,,,,,,,,,,,,,,
8/4/2019,Sun,20600,,2,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,
8/4/2019,Sun,17800,,,1,1,,,,,,,1,,,,1,,,,,1,,,,,,,,,,
8/5/2019,Mon,16300,,1,,,,,,1,,,,,,,,,,,,2,,,,,,,,,,
8/5/2019,Mon,23100,,2,,,,,,,,,,,,1,,,,,1,1,,,,,,,,,,
8/5/2019,Mon,31400,,2,,,,,,1,,1,,,,,1,1,,,,1,,,,,,,,,,
8/5/2019,Mon,17000,,,,,,,,,,1,2,,,,,,,,,1,,,,,,,,,,
8/5/2019,Mon,22300,,1,1,1,,,,,,1,,,,,,1,,,,1,,,,,,,,,,
8/5/2019,Mon,26600,,2,1,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,
8/5/2019,Mon,14800,,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,
8/5/2019,Mon,19600,,2,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,
8/5/2019,Mon,49300,,1,1,1,,1,1,,,1,,,,,,,,1,,,3,1,,,,,,,,
8/5/2019,Mon,19800,,1,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,
8/5/2019,Mon,20800,,1,1,,,,1,,,,,,,,,,,,,1,,,,,,,,,,
8/5/2019,Mon,16300,,1,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,
8/7/2019,Wed,16300,,1,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,
8/7/2019,Wed,21200,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/7/2019,Wed,15300,,,,,,1,,,,1,,,,,1,,,,,1,,,,,,,,,,
8/7/2019,Wed,27300,,1,,,,1,1,1,,1,,,,,,,,,,,1,,,,,,,,,
8/7/2019,Wed,16100,,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
8/7/2019,Wed,17600,,1,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,
8/7/2019,Wed,19500,,,3,,,,,,,2,,,,,,,,,,,,,,,,,,,,
8/7/2019,Wed,14800,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
8/7/2019,Wed,15000,,,1,1,,1,,,,,,,,,,,,,1,,,,,,,,,,,
8/7/2019,Wed,14100,,2,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
8/7/2019,Wed,23800,,1,1,,,,1,1,,,,,,1,,,,,,,,,,,,,,,,
8/8/2019,Thur,16100,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/8/2019,Thur,16400,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/8/2019,Thur,20300,,1,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,
8/8/2019,Thur,16500,,,1,1,,,,1,,,,,,,,,,,,1,,,,,,,,,,
8/8/2019,Thur,15100,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
8/8/2019,Thur,15300,,1,1,,,,,,,,,,,,,,,,,2,,,,,,,,,,
8/8/2019,Thur,16000,,,1,,,1,,,,,,,,,,1,,,,1,,,,,,,,,,
8/8/2019,Thur,15800,,1,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,
8/8/2019,Thur,17300,,1,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,
8/8/2019,Thur,33200,,2,,,,,,2,,,,,,,2,,,,,2,,,,,,,,,,
8/8/2019,Thur,22300,,,,,1,1,1,,,,,,,,1,1,,,,,,,,,,,,,,
8/8/2019,Thur,32400,,3,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,
8/8/2019,Thur,16100,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
8/8/2019,Thur,17000,,,1,2,1,,,,,,,,,,,,,,1,,,,,,,,,,,
8/8/2019,Thur,20500,,,1,2,,,,,,,,,,,,,,,,3,1,,,,,,,,,
8/9/2019,Fri,17000,,,,,,2,,,,1,,,,,,,,,1,,,,,,,,,,,
8/9/2019,Fri,18600,,1,,,,1,,,,,,,,1,1,,,,,,,,,,,,,,,
8/9/2019,Fri,26000,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/9/2019,Fri,35800,,6,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
8/9/2019,Fri,15100,,1,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,
8/10/2019,Sat,19600,,2,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,
8/10/2019,Sat,15300,,1,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,
8/10/2019,Sat,19100,,1,,,,,,,,1,,,,,1,1,,,,1,,,,,,,,,,
8/10/2019,Sat,28600,,2,1,,,,,1,,,,,,,,1,,,1,,,,,,,,,,,
8/10/2019,Sat,17300,,1,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,
8/10/2019,Sat,36800,,1,1,,,1,,,,1,1,,,,,1,,,,2,1,,,,,,,,,
8/10/2019,Sat,25300,,1,1,,,1,,1,,,,,,,,,,,,1,,,,,,,,,,
8/10/2019,Sat,46200,,4,,,,,,,,2,1,,,,,2,,,1,,,,,,,,,,,
8/10/2019,Sat,30200,,4,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
8/10/2019,Sat,16600,,1,,,,1,,,,,,,,,1,,,,,1,,,,,,,,,,
8/10/2019,Sat,21200,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/10/2019,Sat,24400,,3,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,
8/11/2019,Sun,21800,,1,1,,,1,,,,1,,,,,,1,,,,,,,,,,,,,,
8/11/2019,Sun,16800,,1,,,1,,,,,1,,,,,,,,,,1,,,,,,,,,,
8/11/2019,Sun,16000,,,,,,1,,,,1,,,,,,,,,1,1,,,,,,,,,,
8/11/2019,Sun,22800,,1,,,,,,1,,,,,,,,1,,,1,1,,,,,,,,,,
8/11/2019,Sun,17800,,1,,,1,,,1,,,,,,,,,,,,1,,,,,,,,,,
8/11/2019,Sun,15800,,1,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,
8/11/2019,Sun,38900,,3,,,,2,,1,,2,1,,,,,,,,,,,,,,,,,,,
8/11/2019,Sun,19600,,2,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,
8/11/2019,Sun,15300,,1,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
8/11/2019,Sun,27900,,3,1,,,,,,,1,,,,,,,,,1,,,,,,,,,,,
8/11/2019,Sun,15800,,1,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,
8/11/2019,Sun,19300,,1,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,,
8/11/2019,Sun,23100,,2,,,,,,,,,,,,,,1,,,,1,,,1,,,,,,,
8/11/2019,Sun,17300,,1,,,,,1,,,1,,,,,,,,,,1,,,,,,,,,,
8/12/2019,Mon,28400,,2,,,,1,,,,2,,,,,1,,,,,1,,,,,,,,,,
8/12/2019,Mon,20800,,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,
8/12/2019,Mon,16300,,1,1,,,1,,,,,,,,,,,,,,1,,,,,,,,,,
8/12/2019,Mon,24300,효자 3동,1,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,
8/12/2019,Mon,15800,효자 3동,1,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,
8/12/2019,Mon,14800,후평 1동,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,
8/12/2019,Mon,16300,후평 1동,1,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,
8/12/2019,Mon,18300,후평 2동,1,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,
8/12/2019,Mon,19100,석사동,2,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,
8/12/2019,Mon,32100,후평 1동,1,,,2,,,,,,,,,,1,1,,,,,1,,1,,,,,,,
8/12/2019,Mon,26000,소양동,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/14/2019,Wed,41200,퇴계동,4,1,1,,2,,,,1,,,,,,1,,,,,,,,,,,,,,
8/14/2019,Wed,17800,동면,1,1,1,,1,,,,,,,,,,,,,,1,,,,,,,,,,
8/14/2019,Wed,18300,효자 3동,1,,,,,,,,,1,,,,,1,,,,1,,,,,,,,,,
8/14/2019,Wed,17300,동면,1,,,,1,,,,,1,,,,,,,,,1,,,,,,,,,,
8/14/2019,Wed,65600,퇴계동,6,1,,,,,1,,1,,,,,1,2,,,,,,,,,,,,,,
8/14/2019,Wed,29000,동면,,,,1,3,,,,1,1,,,,,,,,,,1,,,,,,,,,
8/14/2019,Wed,27300,후평 1동,1,1,1,1,1,,,,1,,,,,,,,1,,,,,,,,,,,,
8/14/2019,Wed,22300,석사동,1,1,,,1,,,1,,1,,,,,,,,,,,,,,,,,,,
8/14/2019,Wed,14300,동면,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,
8/14/2019,Wed,16400,후평 3동,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/15/2019,Thur,24100,후평 3동,2,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
8/15/2019,Thur,17300,석사동,1,1,,,,,1,,,,,,,,,,,,1,,,,,,,,,,
8/15/2019,Thur,16100,신사우동,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
8/15/2019,Thur,22100,강남동,2,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
8/15/2019,Thur,15100,강남동,1,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,
8/15/2019,Thur,58000,강남동,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,
8/15/2019,Thur,15000,후평 2동,,,,1,,,,,,,,,,,,,,1,,1,,,,,,,,,
8/15/2019,Thur,18900,효자 1동,2,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,
